accelX,accelY,accelZ,timestamp
-128.699997,35.100002,978.900024,105626
-130.650009,33.150002,986.700012,105630
-128.699997,29.25,984.75,105634
-128.699997,29.25,990.600037,105638
-128.699997,31.200001,986.700012,105642
-124.800003,35.100002,980.850037,105646
-130.650009,37.049999,986.700012,105650
-126.75,33.150002,978.900024,105654
-124.800003,33.150002,978.900024,105658
-126.75,39,980.850037,105662
-126.75,39,982.800049,105666
-134.550003,39,976.950012,105670
-124.800003,35.100002,984.75,105674
-126.75,39,980.850037,105678
-130.650009,29.25,986.700012,105682
-132.600006,31.200001,984.75,105686
-130.650009,27.300001,990.600037,105690
-130.650009,25.35,984.75,105694
-128.699997,23.400002,990.600037,105698
-128.699997,29.25,976.950012,105702
-128.699997,31.200001,980.850037,105706
-130.650009,33.150002,978.900024,105710
-122.850006,31.200001,978.900024,105714
-134.550003,31.200001,980.850037,105718
-132.600006,25.35,982.800049,105722
-128.699997,33.150002,982.800049,105726
-130.650009,33.150002,986.700012,105730
-124.800003,31.200001,980.850037,105734
-130.650009,29.25,988.650024,105738
-126.75,25.35,990.600037,105742
-122.850006,29.25,980.850037,105746
-128.699997,29.25,976.950012,105750
-132.600006,35.100002,978.900024,105754
-122.850006,29.25,984.75,105758
-124.800003,37.049999,982.800049,105762
-132.600006,27.300001,984.75,105766
-134.550003,31.200001,984.75,105770
-126.75,33.150002,988.650024,105774
-124.800003,40.950001,982.800049,105778
-124.800003,39,980.850037,105782
-124.800003,39,980.850037,105786
-122.850006,35.100002,978.900024,105790
-128.699997,35.100002,976.950012,105794
-130.650009,37.049999,986.700012,105798
-126.75,27.300001,984.75,105802
-128.699997,29.25,984.75,105806
-130.650009,33.150002,982.800049,105810
-134.550003,29.25,980.850037,105814
-130.650009,29.25,980.850037,105818
-124.800003,35.100002,980.850037,105822
-126.75,33.150002,984.75,105826
-124.800003,31.200001,986.700012,105830
-126.75,35.100002,980.850037,105834
-126.75,33.150002,980.850037,105838
-124.800003,37.049999,984.75,105842
-130.650009,35.100002,980.850037,105846
-126.75,31.200001,982.800049,105850
-128.699997,31.200001,976.950012,105854
-126.75,29.25,978.900024,105858
-128.699997,31.200001,980.850037,105862
-130.650009,33.150002,988.650024,105866
-130.650009,33.150002,982.800049,105870
-132.600006,33.150002,984.75,105874
-126.75,29.25,978.900024,105878
-130.650009,31.200001,976.950012,105882
-132.600006,29.25,982.800049,105886
-128.699997,27.300001,986.700012,105890
-130.650009,27.300001,982.800049,105894
-124.800003,31.200001,978.900024,105898
-126.75,33.150002,978.900024,105902
-132.600006,37.049999,978.900024,105906
-128.699997,37.049999,984.75,105910
-128.699997,35.100002,988.650024,105914
-130.650009,35.100002,984.75,105918
-128.699997,33.150002,982.800049,105922
-128.699997,31.200001,980.850037,105926
-130.650009,29.25,980.850037,105930
-134.550003,29.25,978.900024,105934
-130.650009,29.25,982.800049,105938
-124.800003,27.300001,980.850037,105942
-128.699997,29.25,988.650024,105946
-126.75,29.25,984.75,105950
-130.650009,29.25,975,105954
-128.699997,31.200001,975,105958
-120.900002,29.25,982.800049,105962
-118.950005,29.25,984.75,105966
-122.850006,27.300001,980.850037,105970
-124.800003,29.25,980.850037,105974
-132.600006,31.200001,973.050049,105978
-132.600006,39,984.75,105982
-132.600006,37.049999,978.900024,105986
-126.75,31.200001,980.850037,105990
-124.800003,33.150002,984.75,105994
-124.800003,31.200001,978.900024,105998
-122.850006,31.200001,982.800049,106002
-128.699997,27.300001,984.75,106006
-128.699997,33.150002,978.900024,106010
-128.699997,37.049999,982.800049,106014
-128.699997,35.100002,982.800049,106018
-126.75,31.200001,978.900024,106022
-126.75,29.25,982.800049,106026
-128.699997,31.200001,978.900024,106030
-136.5,35.100002,976.950012,106034
-128.699997,31.200001,982.800049,106038
-128.699997,31.200001,984.75,106042
-132.600006,35.100002,982.800049,106046
-128.699997,33.150002,982.800049,106050
-126.75,39,982.800049,106054
-124.800003,37.049999,976.950012,106058
-126.75,31.200001,978.900024,106062
-122.850006,25.35,982.800049,106066
-124.800003,31.200001,980.850037,106070
-124.800003,27.300001,980.850037,106074
-130.650009,33.150002,984.75,106078
-124.800003,33.150002,982.800049,106082
-130.650009,27.300001,975,106086
-130.650009,35.100002,982.800049,106090
-128.699997,33.150002,980.850037,106094
-130.650009,29.25,982.800049,106098
-126.75,33.150002,978.900024,106102
-130.650009,40.950001,982.800049,106106
-126.75,42.900002,980.850037,106110
-124.800003,39,976.950012,106114
-120.900002,31.200001,984.75,106118
-130.650009,31.200001,982.800049,106122
-122.850006,33.150002,988.650024,106126
-124.800003,27.300001,986.700012,106130
-124.800003,29.25,988.650024,106134
-130.650009,33.150002,978.900024,106138
-132.600006,37.049999,978.900024,106142
-130.650009,33.150002,976.950012,106146
-130.650009,29.25,975,106150
-126.75,33.150002,980.850037,106154
-126.75,33.150002,984.75,106158
-126.75,33.150002,982.800049,106162
-126.75,35.100002,976.950012,106166
-128.699997,37.049999,975,106170
-132.600006,37.049999,976.950012,106174
-124.800003,37.049999,975,106178
-130.650009,35.100002,975,106182
-126.75,29.25,976.950012,106186
-122.850006,27.300001,982.800049,106190
-126.75,31.200001,976.950012,106194
-122.850006,31.200001,982.800049,106198
-120.900002,33.150002,984.75,106202
-124.800003,33.150002,980.850037,106206
-126.75,31.200001,978.900024,106210
-128.699997,31.200001,984.75,106214
-130.650009,33.150002,982.800049,106218
-128.699997,37.049999,986.700012,106222
-128.699997,35.100002,986.700012,106226
-126.75,31.200001,986.700012,106230
-128.699997,33.150002,982.800049,106234
-124.800003,33.150002,980.850037,106238
-132.600006,31.200001,986.700012,106242
-130.650009,33.150002,980.850037,106246
-130.650009,33.150002,982.800049,106250
-126.75,31.200001,980.850037,106254
-126.75,33.150002,984.75,106258
-124.800003,29.25,978.900024,106262
-120.900002,33.150002,984.75,106266
-126.75,44.850002,980.850037,106270
-128.699997,39,976.950012,106274
-126.75,37.049999,982.800049,106278
-126.75,37.049999,976.950012,106282
-128.699997,35.100002,978.900024,106286
-128.699997,27.300001,980.850037,106290
-132.600006,31.200001,982.800049,106294
-126.75,35.100002,982.800049,106298
-126.75,37.049999,984.75,106302
-128.699997,33.150002,988.650024,106306
-130.650009,37.049999,986.700012,106310
-136.5,33.150002,980.850037,106314
-132.600006,33.150002,982.800049,106318
-128.699997,40.950001,980.850037,106322
-130.650009,31.200001,980.850037,106326
-128.699997,27.300001,980.850037,106330
-126.75,27.300001,984.75,106334
-122.850006,29.25,990.600037,106338
-124.800003,40.950001,986.700012,106342
-126.75,37.049999,982.800049,106346
-130.650009,33.150002,980.850037,106350
-130.650009,35.100002,982.800049,106354
